Company,Ticker,CUSIP,Shares,Market Value($),Weight(%)
1  TESLA INC,TSLA,88160R101,"3,491,038","2,358,196,169.00",10.08
2  SQUARE INC - A,SQ,852234103,"5,809,631","1,336,389,418.93",5.71
3  ROKU INC,ROKU,77543R102,"3,281,065","1,297,595,586.20",5.54
4  TELADOC HEALTH INC,TDOC,87918A105,"5,540,299","1,224,904,705.91",5.23
5  BAIDU INC - SPON ADR,BIDU,056752108,"3,167,735","897,926,163.10",3.84
6  SPOTIFY TECHNOLOGY SA,SPOT,L8681T102,"2,773,383","852,482,466.54",3.64
7  ZILLOW GROUP INC - C,Z,98954M200,"4,981,520","803,668,621.60",3.43
8  SHOPIFY INC - CLASS A,SHOP,82509L107,"573,367","734,465,925.99",3.14
9  CRISPR THERAPEUTICS AG,CRSP,H17182108,"5,798,771","728,847,526.99",3.11
10  INVITAE CORP,NVTA,46185L103,"16,675,110","669,172,164.30",2.86
11  PAYPAL HOLDINGS INC,PYPL,70450Y103,"2,432,787","632,159,701.95",2.70
12  EXACT SCIENCES CORP,EXAS,30063P105,"4,259,594","579,815,935.28",2.48
13  TWILIO INC - A,TWLO,90138F102,"1,356,214","532,829,356.32",2.28
14  ZOOM VIDEO COMMUNICATIONS-A,ZM,98980L101,"1,387,181","518,264,693.41",2.21
15  PURE STORAGE INC - CLASS A,PSTG,74624M102,"20,365,739","476,150,977.82",2.03
16  DOCUSIGN INC,DOCU,256163106,"2,058,690","466,622,675.40",1.99
17  UNITY SOFTWARE INC,U,91332U101,"4,297,673","462,558,544.99",1.98
18  TENCENT HOLDINGS LTD-UNS ADR,TCEHY,88032Q109,"5,231,495","456,186,364.00",1.95
19  PROTO LABS INC,PRLB,743713109,"2,970,291","432,711,992.88",1.85
20  TWIST BIOSCIENCE CORP,TWST,90184D100,"3,014,313","414,890,041.32",1.77
21  IOVANCE BIOTHERAPEUTICS INC,IOVA,462260100,"10,919,976","407,315,104.80",1.74
22  KE HOLDINGS INC,BEKE,482497104,"5,886,396","375,728,656.68",1.61
23  INTELLIA THERAPEUTICS INC,NTLA,45826J105,"6,167,750","372,902,165.00",1.59
24  NINTENDO CO LTD-UNSPONS ADR,NTDOY,654445303,"4,698,392","362,339,991.04",1.55
25  INTERCONTINENTAL EXCHANGE IN,ICE,45866F104,"3,175,882","350,331,543.42",1.50
26  10X GENOMICS INC-CLASS A,TXG,88025U109,"1,890,868","336,555,595.32",1.44
27  PAGERDUTY INC,PD,69553P100,"7,214,454","322,774,671.96",1.38
28  LENDINGTREE INC,TREE UW,52603B107,"1,169,465","314,434,054.55",1.34
29  2U INC,TWOU,90214J101,"7,694,663","304,939,494.69",1.30
30  EDITAS MEDICINE INC,EDIT,28106W103,"6,357,704","278,848,897.44",1.19
31  IRIDIUM COMMUNICATIONS INC,IRDM,46269C102,"7,137,721","273,446,091.51",1.17
32  VERACYTE INC,VCYT,92337F107,"4,624,697","268,509,907.82",1.15
33  TWITTER INC,TWTR,90184L102,"3,467,702","267,221,116.12",1.14
34  SEA LTD-ADR,SE,81141R100,"1,114,441","262,662,599.29",1.12
35  PACCAR INC,PCAR,693718108,"2,798,024","254,592,203.76",1.09
36  MATERIALISE NV-ADR,MTLS,57667T100,"5,509,499","250,737,299.49",1.07
37  NOVARTIS AG-SPONSORED ADR,NVS,66987V109,"2,787,318","239,458,489.38",1.02
38  REGENERON PHARMACEUTICALS,REGN,75886F107,"485,735","218,857,618.95",0.94
39  STRATASYS LTD,SSYS,M85548101,"6,386,427","220,267,867.23",0.94
40  SYNOPSYS INC,SNPS,871607107,"885,571","217,150,864.91",0.93
41  PACIFIC BIOSCIENCES OF CALIF,PACB,69404D108,"6,932,252","211,918,943.64",0.91
42  PALANTIR TECHNOLOGIES INC-A,PLTR,69608A108,"7,683,103","183,626,161.70",0.78
43  HUYA INC-ADR,HUYA,44852D108,"6,571,487","173,158,682.45",0.74
44  SERES THERAPEUTICS INC,MCRB,81750R102,"7,678,062","146,190,300.48",0.62
45  TERADYNE INC,TER,880770102,"1,076,964","138,508,340.04",0.59
46  NANOSTRING TECHNOLOGIES INC,NSTG,63009R109,"1,799,779","125,606,576.41",0.54
47  TAIWAN SEMICONDUCTOR-SP ADR,TSM,874039100,"984,214","123,951,911.16",0.53
48  BEAM THERAPEUTICS INC,BEAM,07373V105,"1,400,780","124,851,521.40",0.53
49  FATE THERAPEUTICS INC,FATE,31189P102,"1,333,794","119,667,997.68",0.51
50  CERUS CORP,CERS,157085101,"18,209,592","111,806,894.88",0.48
51  COMPUGEN LTD,CGEN,M25722105,"9,580,475","89,385,831.75",0.38
52  SYROS PHARMACEUTICALS INC,SYRS,87184Q107,"4,830,038","40,572,319.20",0.17
53  MORGAN STANLEY GOVT INSTL 8035,,X9USDMORS,"35,133,303","35,133,302.76",0.15
54  PINTEREST INC- CLASS A,PINS,72352L106,"27,614","2,225,136.12",0.01
55  SNAP INC - A,SNAP,83304A106,"36,685","2,408,737.10",0.01
56  ORGANOVO HOLDINGS INC,ONVO,68620A203,"126,936","1,618,434.00",0.01
